team,player,full_name_ai,metadata,y0,y1,y2,Rookie,contract_years
jdigi15,N. Harris,Najee Harris,RB - PIT (9),71,86,104,,2
jdigi15,D. Henry,Derrick Henry,RB - TEN (6),53,64,77,,
jdigi15,J. Burrow,Joe Burrow,QB - CIN (10),50,60,72,,3
jdigi15,M. Pittman,Michael Pittman,WR - IND (14),29,35,42,,3
jdigi15,D. Schultz,Dalton Schultz,TE - DAL (9),16,20,24,,
jdigi15,T. Lawrence,Trevor Lawrence,QB - JAX (11),15,18,22,,3
jdigi15,C. Akers,Cam Akers,RB - LAR (7),12,15,18,,2
jdigi15,D. Hopkins,DeAndre Hopkins,WR - ARI (13),5,6,8,,
jdigi15,A. Robinson,Allen Robinson,WR - LAR (7),4,5,6,,2
jdigi15,D. Mooney,Darnell Mooney,WR - CHI (14),3,4,5,,3
jdigi15,Z. Ertz,Zach Ertz,TE - ARI (13),3,4,5,,
jdigi15,Z. Wilson,Zach Wilson,QB - NYJ (10),3,4,5,,2
jdigi15,A. Thielen,Adam Thielen,WR - MIN (7),3,4,5,,
jdigi15,M. Carter,Michael Carter,RB - NYJ (10),2,3,4,,
jdigi15,A. Okwuegbunam,Albert Okwuegbunam,TE - DEN (9),1,2,3,,
jdigi15,T. Lockett,Tyler Lockett,WR - SEA (11),1,2,3,,
jdigi15,K. Herbert,Khalil Herbert,RB - CHI (14),1,2,3,,
jdigi15,M. Gallup,Michael Gallup,WR - DAL (9),1,2,3,,2
jdigi15,D. Mills,Davis Mills,QB - HOU (6),1,2,3,,
jdigi15,D. Parker,DeVante Parker,WR - NE (10),1,2,3,,
jdigi15,B. Hall,Breece Hall,RB - NYJ (10),15,21,30,3,
jdigi15,B. Robinson,Brian Robinson,RB - WAS (14),5,7,10,13,
jdigi15,J. Dotson,Jahan Dotson,WR - WAS (14),3,5,7,23,
jdigi15,G. Dulcich,Greg Dulcich,TE - DEN (9),1,2,3,33,
gnawhnehpets,T. Brady,Tom Brady,QB - TB (11),51,62,75,,
gnawhnehpets,N. Chubb,Nick Chubb,RB - CLE (9),32,39,47,,3
gnawhnehpets,S. Barkley,Saquon Barkley,RB - NYG (9),39,47,57,,2
gnawhnehpets,J. Jefferson,Justin Jefferson,WR - MIN (7),66,80,96,,
gnawhnehpets,D. Adams,Davante Adams,WR - LV (6),44,53,64,,
gnawhnehpets,D. Waller,Darren Waller,TE - LV (6),29,35,42,,3
gnawhnehpets,E. Moore,Elijah Moore,WR - NYJ (10),1,2,3,,
gnawhnehpets,J. Robinson,James Robinson,RB - JAX (11),1,2,3,,2
gnawhnehpets,G. Everett,Gerald Everett,TE - LAC (8),1,2,3,,2
gnawhnehpets,K. Gainwell,Kenneth Gainwell,RB - PHI (7),2,3,4,,3
gnawhnehpets,C. Wentz,Carson Wentz,QB - WAS (14),1,2,3,,2
gnawhnehpets,K. Osborn,K.J. Osborn,WR - MIN (7),1,2,3,,3
gnawhnehpets,K. Hamler,K.J. Hamler,WR - DEN (9),1,2,3,,
gnawhnehpets,J. Wilson,Jeff Wilson,RB - SF (9),1,2,3,,
gnawhnehpets,V. Jefferson,Van Jefferson,WR - LAR (7),1,2,3,,
gnawhnehpets,M. Trubisky,Mitch Trubisky,QB - PIT (9),1,2,3,,
gnawhnehpets,M. Alie-Cox,Mo Alie-Cox,TE - IND (14),1,2,3,,
gnawhnehpets,L. Thomas,Logan Thomas,TE - WAS (14),1,2,3,,
gnawhnehpets,D. Duvernay,Devin Duvernay,WR - BAL (10),1,2,3,,
gnawhnehpets,B. Edwards,Bryan Edwards,WR - ATL (14),1,2,3,,
gnawhnehpets,D. London,Drake London,WR - ATL (14),15,21,30,3,
gnawhnehpets,D. Ridder,Desmond Ridder,QB - ATL (14),5,7,10,13,
gnawhnehpets,A. Pierce,Alec Pierce,WR - IND (14),3,5,7,23,
gnawhnehpets,J. Woods,Jelani Woods,TE - IND (14),1,2,3,33,
hashbrown247,K. Pitts,Kyle Pitts,TE - ATL (14),53,64,77,,
hashbrown247,J. Mixon,Joe Mixon,RB - CIN (10),51,62,75,,2
hashbrown247,J. Fields,Justin Fields,QB - CHI (14),37,45,54,,
hashbrown247,A. Brown,A.J. Brown,WR - PHI (7),35,42,51,,
hashbrown247,M. Williams,Mike Williams,WR - LAC (8),29,35,42,,3
hashbrown247,D. Watson,Deshaun Watson,QB - CLE (9),20,24,29,,
hashbrown247,J. Dobbins,J.K. Dobbins,RB - BAL (10),13,16,20,,2
hashbrown247,T. Higgins,Tee Higgins,WR - CIN (10),13,16,20,,
hashbrown247,M. Jones,Mac Jones,QB - NE (10),7,9,11,,
hashbrown247,R. Stevenson,Rhamondre Stevenson,RB - NE (10),5,6,8,,3
hashbrown247,D. Harris,Damien Harris,RB - NE (10),3,4,5,,2
hashbrown247,C. Kmet,Cole Kmet,TE - CHI (14),2,3,4,,
hashbrown247,H. Renfrow,Hunter Renfrow,WR - LV (6),1,2,3,,
hashbrown247,R. Mostert,Raheem Mostert,RB - MIA (11),1,2,3,,
hashbrown247,T. Boyd,Tyler Boyd,WR - CIN (10),1,2,3,,
hashbrown247,M. Mack,Marlon Mack,RB - HOU (6),1,2,3,,
hashbrown247,E. Benjamin,Eno Benjamin,RB - ARI (13),1,2,3,,
hashbrown247,L. Shenault,Laviska Shenault,WR - JAX (11),1,2,3,,
hashbrown247,T. Patrick,Tim Patrick,WR - DEN (9),1,2,3,,
hashbrown247,E. Engram,Evan Engram,TE - JAX (11),1,2,3,,
hashbrown247,I. Pacheco,Isiah Pacheco,RB - KC (8),15,21,30,3,
hashbrown247,M. Willis,Malik Willis,QB - TEN (6),5,7,10,13,
hashbrown247,R. Doubs,Romeo Doubs,WR - GB (14),3,5,7,23,
hashbrown247,K. Williams,Kyren Williams,RB - LAR (7),1,2,3,33,2
antonius405,P. Mahomes,Patrick Mahomes,QB - KC (8),70,84,101,,2
antonius405,S. Diggs,Stefon Diggs,WR - BUF (7),55,66,80,,
antonius405,T. Kelce,Travis Kelce,TE - KC (8),55,66,80,,2
antonius405,K. Allen,Keenan Allen,WR - LAC (8),25,30,36,,2
antonius405,E. Elliott,Ezekiel Elliott,RB - DAL (9),22,27,33,,
antonius405,D. Montgomery,David Montgomery,RB - CHI (14),19,23,28,,
antonius405,E. Mitchell,Elijah Mitchell,RB - SF (9),12,15,18,,2
antonius405,M. Mariota,Marcus Mariota,QB - ATL (14),4,5,6,,
antonius405,R. Tannehill,Ryan Tannehill,QB - TEN (6),2,3,4,,
antonius405,H. Hurst,Hayden Hurst,TE - CIN (10),2,3,4,,
antonius405,K. Toney,Kadarius Toney,WR - NYG (9),1,2,3,,3
antonius405,J. Landry,Jarvis Landry,WR - NO (14),1,2,3,,3
antonius405,D. Lock,Drew Lock,QB - SEA (11),1,2,3,,
antonius405,D. Chark,DJ Chark,WR - DET (6),1,2,3,,
antonius405,D. Peoples-Jones,Donovan Peoples-Jones,WR - CLE (9),1,2,3,,
antonius405,C. Samuel,Curtis Samuel,WR - WAS (14),1,2,3,,
antonius405,S. Michel,Sony Michel,RB - MIA (11),1,2,3,,
antonius405,B. Scott,Boston Scott,RB - PHI (7),1,2,3,,
antonius405,S. Perine,Samaje Perine,RB - CIN (10),1,2,3,,
