picked_by,first_name,last_name,full_name,player_id,position,team,years_exp,rookie_year,rookie_deal,contract_length,sal_rank,ntc_elig,_2023_2024,_2024_2025,_2025_2026,contracts_needed,Y0,Y1,Y2,taxi
sammyboiie,Stefon,Diggs,Stefon Diggs,2449,WR,BUF,8,2015,,3,16,,$46,$56,$68,1,,,X,
sammyboiie,Cooper,Kupp,Cooper Kupp,4039,WR,LAR,6,2017,,2,37,,$22,$27,,1,,X,,
sammyboiie,Dameon,Pierce,Dameon Pierce,8129,RB,HOU,1,2022,,2,38,,$21,$29,,0,,,,
sammyboiie,Geno,Smith,Geno Smith,1373,QB,SEA,10,2013,,1,44,,$20,,,1,X,,,
sammyboiie,Cam,Akers,Cam Akers,6938,RB,LAR,3,2020,,1,52,,$15,,,0,,,,
sammyboiie,Kenny,Pickett,Kenny Pickett,8160,QB,PIT,1,2022,,2,62,,$14,$20,,0,,,,
sammyboiie,Ty,Chandler,Ty Chandler,8230,RB,MIN,1,2022,,1,71,,$10,,,1,X,,,
sammyboiie,Dalton,Kincaid,Dalton Kincaid,10236,TE,BUF,0,2023,Y,3,71,,$10,$14,$20,0,,,,
sammyboiie,Raheem,Mostert,Raheem Mostert,2749,RB,MIA,8,2015,,1,80,,$9,,,1,X,,,
sammyboiie,Rachaad,White,Rachaad White,8136,RB,TB,1,2022,,2,87,,$7,$10,,0,,,,
sammyboiie,Zamir,White,Zamir White,8139,RB,LV,1,2022,,2,87,,$7,$10,,0,,,,
sammyboiie,Brian,Robinson,Brian Robinson,8154,RB,WAS,1,2022,,2,87,,$7,$10,,0,,,,
sammyboiie,Jordan,Love,Jordan Love,6804,QB,GB,3,2020,,3,100,,$5,$6,$8,1,,,X,
sammyboiie,Jahan,Dotson,Jahan Dotson,8119,WR,WAS,1,2022,,2,100,,$5,$7,,0,,,,
sammyboiie,Tyjae,Spears,Tyjae Spears,9508,RB,TEN,0,2023,Y,3,100,,$5,$7,$10,0,,,,X
sammyboiie,Alexander,Mattison,Alexander Mattison,5987,RB,MIN,4,2019,,2,126,,$4,$5,,0,,,,
sammyboiie,Jaylen,Warren,Jaylen Warren,8228,RB,PIT,1,2022,,3,126,,$4,$5,$6,1,,,X,
sammyboiie,Romeo,Doubs,Romeo Doubs,8121,WR,GB,1,2022,,3,133,,$3,$4,$5,1,,,X,
sammyboiie,Michael,Mayer,Michael Mayer,9482,TE,LV,0,2023,Y,3,133,,$3,$4,$6,0,,,,X
sammyboiie,Michael,Wilson,Michael Wilson,10232,WR,ARI,0,2023,Y,3,133,,$3,$4,$6,0,,,,X
sammyboiie,Keaontay,Ingram,Keaontay Ingram,8221,RB,ARI,1,2022,,2,162,,$2,$3,,0,,,,
sammyboiie,Puka,Nacua,Puka Nacua,9493,WR,LAR,0,2023,Y,3,194,,$1,$1,$2,0,,,,
sammyboiie,Clayton,Tune,Clayton Tune,10217,QB,ARI,0,2023,Y,3,194,,$1,$1,$2,0,,,,
sammyboiie,Stetson,Bennett,Stetson Bennett,10857,QB,LAR,0,2023,Y,3,194,,$1,$1,$2,0,,,,X
Teamocil86,Justin,Herbert,Justin Herbert,6797,QB,LAC,3,2020,,1,9,Y,$60,,,1,X,,,
Teamocil86,Mark,Andrews,Mark Andrews,5012,TE,BAL,5,2018,,2,19,,$44,$53,.,0,,,,
Teamocil86,Deebo,Samuel,Deebo Samuel,5872,WR,SF,4,2019,,1,20,,$42,,.,0,,,,
Teamocil86,Lamar,Jackson,Lamar Jackson,4881,QB,BAL,5,2018,,3,23,,$39,$47,$57,1,,,X,
Teamocil86,Derek,Carr,Derek Carr,2028,QB,NO,9,2014,,1,29,,$32,,.,0,,,,
Teamocil86,Mike,Evans,Mike Evans,2216,WR,TB,9,2014,,2,45,,$18,$22,.,0,,,,
Teamocil86,Kenneth,Walker,Kenneth Walker,8151,RB,SEA,1,2022,,2,62,,$14,$20,.,0,,,,
Teamocil86,Kyle,Pitts,Kyle Pitts,7553,TE,ATL,2,2021,,2,80,,$9,$11,,1,,X,,
Teamocil86,Josh,Jacobs,Josh Jacobs,5850,RB,LV,4,2019,,1,84,,$8,,.,0,,,,
Teamocil86,Jerry,Jeudy,Jerry Jeudy,6783,WR,DEN,3,2020,,1,84,,$8,,.,0,,,,
Teamocil86,Isaiah,Spiller,Isaiah Spiller,8153,RB,LAC,1,2022,,2,87,,$7,$10,.,0,,,,
Teamocil86,Jalin,Hyatt,Jalin Hyatt,9497,WR,NYG,0,2023,Y,3,133,,$3,$4,$6,0,,,,X
Teamocil86,Marquez,Valdes-Scantling,Marquez Valdes-Scantling,5086,WR,KC,5,2018,,1,162,,$2,,.,0,,,,
Teamocil86,James,Robinson,James Robinson,6955,RB,,3,2020,,1,162,,$2,,.,0,,,,
Teamocil86,Matt,Corral,Matt Corral,8164,QB,NE,1,2022,,2,162,,$2,$3,.,0,,,,
Teamocil86,Cordarrelle,Patterson,Cordarrelle Patterson,1535,RB,ATL,10,2013,,1,194,,$1,,,1,X,,,
Teamocil86,Adam,Thielen,Adam Thielen,1689,WR,CAR,10,2013,,2,194,,$1,$2,,1,,X,,
Teamocil86,Odell,Beckham,Odell Beckham,2078,WR,BAL,9,2014,,1,194,,$1,,,1,X,,,
Teamocil86,Zay,Jones,Zay Jones,4080,WR,JAX,6,2017,,1,194,,$1,,,1,X,,,
Teamocil86,Mike,Gesicki,Mike Gesicki,4993,TE,NE,5,2018,,1,194,,$1,,,1,X,,,
Teamocil86,Chase,Edmonds,Chase Edmonds,5000,RB,TB,5,2018,,1,194,,$1,,,1,X,,,
Teamocil86,Hunter,Renfrow,Hunter Renfrow,5955,WR,LV,4,2019,,1,194,,$1,,,1,X,,,
Teamocil86,Donovan,Peoples-Jones,Donovan Peoples-Jones,6824,WR,CLE,3,2020,,1,194,,$1,,,1,X,,,
Teamocil86,Dorian,Thompson-Robinson,Dorian Thompson-Robinson,10862,QB,CLE,0,2023,Y,3,194,,$1,$1,$2,0,,,,X
hashbrown247,Joe,Mixon,Joe Mixon,4018,RB,CIN,6,2017,,1,7,,$62,,.,0,,,,
hashbrown247,Jalen,Hurts,Jalen Hurts,6904,QB,PHI,3,2020,,2,11,,$57,$68,.,0,,,,
hashbrown247,CeeDee,Lamb,CeeDee Lamb,6786,WR,DAL,3,2020,,3,22,,$40,$48,$58,1,,,X,
