team,full_name_ai,franchise_tag
jdigi15,Deshaun Watson,x
gnawhnehpets,Derrick Henry,x
hashbrown247,Justin Fields,x
antonius405,Stefon Diggs,x
toshil,A.J. Brown,x
nbaguy8,Tyreek Hill,x
PersianEmpire99,Dallas Goedert,x
jdigi15,Dalton Schultz,
jdigi15,Trevor Lawrence,
jdigi15,Cam Akers,
jdigi15,DeAndre Hopkins,
jdigi15,Allen Robinson,
jdigi15,Darnell Mooney,
jdigi15,Zach Ertz,
jdigi15,Zach Wilson,
jdigi15,Adam Thielen,
jdigi15,Michael Carter,
jdigi15,Albert Okwuegbunam,
jdigi15,Tyler Lockett,
jdigi15,Khalil Herbert,
jdigi15,Michael Gallup,
jdigi15,Davis Mills,
jdigi15,DeVante Parker,
jdigi15,Breece Hall,
jdigi15,Brian Robinson,
jdigi15,Jahan Dotson,
gnawhnehpets,Tom Brady,
gnawhnehpets,Nick Chubb,
gnawhnehpets,Saquon Barkley,
gnawhnehpets,Justin Jefferson,
gnawhnehpets,Davante Adams,
gnawhnehpets,Darren Waller,
gnawhnehpets,Elijah Moore,
gnawhnehpets,James Robinson,
gnawhnehpets,Gerald Everett,
gnawhnehpets,Kenneth Gainwell,
gnawhnehpets,Carson Wentz,
gnawhnehpets,K.J. Osborn,
gnawhnehpets,K.J. Hamler,
gnawhnehpets,Jeff Wilson,
gnawhnehpets,Van Jefferson,
gnawhnehpets,Mitch Trubisky,
gnawhnehpets,Mo Alie-Cox,
gnawhnehpets,Logan Thomas,
gnawhnehpets,Devin Duvernay,
gnawhnehpets,Bryan Edwards,
gnawhnehpets,Drake London,
gnawhnehpets,Desmond Ridder,
gnawhnehpets,Alec Pierce,
gnawhnehpets,Jelani Woods,
antonius405,Patrick Mahomes,
antonius405,Travis Kelce,
antonius405,Keenan Allen,
antonius405,Ezekiel Elliott,
antonius405,David Montgomery,
antonius405,Elijah Mitchell,
antonius405,Marcus Mariota,
antonius405,Ryan Tannehill,
antonius405,Hayden Hurst,
antonius405,Kadarius Toney,
antonius405,Jarvis Landry,
antonius405,Drew Lock,
antonius405,DJ Chark,
antonius405,Donovan Peoples-Jones,
antonius405,Curtis Samuel,
antonius405,Sony Michel,
antonius405,Boston Scott,
antonius405,Samaje Perine,
antonius405,Dontrell Hilliard,
antonius405,Treylon Burks,
antonius405,Tyler Allgeier,
antonius405,Christian Watson,
antonius405,Trey McBride,
toshil,Javonte Williams,
toshil,Cooper Kupp,
toshil,D'Andre Swift,
toshil,Gabe Davis,
toshil,Daniel Jones,
toshil,Clyde Edwards-Helaire,
toshil,Courtland Sutton,
toshil,Tony Pollard,
toshil,Mike Gesicki,
toshil,DeVonta Smith,
toshil,Christian Kirk,
toshil,Brandin Cooks,
toshil,Nyheim Hines,
toshil,Jamaal Williams,
toshil,Jameis Winston,
toshil,Baker Mayfield,
toshil,Devin Singletary,
toshil,Rashaad Penny,
toshil,Hunter Henry,
toshil,Dameon Pierce,
toshil,Zamir White,
toshil,Isaiah Likely,
toshil,Tyler Badie,
Teamocil86,Kyler Murray,
Teamocil86,Mark Andrews,
Teamocil86,Deebo Samuel,
Teamocil86,Aaron Rodgers,
Teamocil86,Leonard Fournette,
Teamocil86,Matthew Stafford,
Teamocil86,Antonio Gibson,
Teamocil86,Mike Evans,
Teamocil86,Kirk Cousins,
Teamocil86,Josh Jacobs,
Teamocil86,Jerry Jeudy,
Teamocil86,Chase Claypool,
Teamocil86,Russell Gage,
Teamocil86,Irv Smith,
Teamocil86,Ronald Jones,
Teamocil86,Marquez Valdes-Scantling,
Teamocil86,Kenny Golladay,
Teamocil86,Robbie Anderson,
Teamocil86,Mike Davis,
Teamocil86,D'Ernest Johnson,
